hersteller,modell,generation,fahrzeugbezeichnung,baujahr,kraftstoffart,verbrauch_l_pro_100_km,tankgroesse_1,adac_url,adac_modell_url,adac_generation_url
Fiat,Doblò,K9 Facelift,Fiat Doblò Kastenwagen L1 1.5 BlueHDi 25th Anniversary (ab 10/25),2025,Diesel,5.2,53.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/k9-facelift/350950/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/k9-facelift/
Fiat,Doblò,K9 Facelift,Fiat Doblò Kastenwagen L1 1.5 BlueHDi 25th Anniversary Automatik (ab 10/25),2025,Diesel,5.4,53.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/k9-facelift/350951/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/k9-facelift/
Fiat,Doblò,K9 Facelift,Fiat Doblò Kastenwagen L1 1.5 BlueHDi 25th Anniversary Automatik (mit erhöhter Nutzlast) (ab 10/25),2025,Diesel,5.4,53.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/k9-facelift/350952/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/doblo/k9-facelift/
Fiat,Qubo,K9,Fiat Qubo L 1.2 Icon (5-Sitzer) (ab 04/26),2026,Super,6.3,61.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350942/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
Fiat,Qubo,K9,Fiat Qubo L 1.2 Pop (5-Sitzer) (ab 04/26),2026,Super,6.3,61.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350941/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
Fiat,Qubo,K9,Fiat Qubo L Elektro La Prima (5-Sitzer) (ab 04/26),2026,Strom,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350946/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
Fiat,Qubo,K9,Fiat Qubo L 1.2 La Prima (5-Sitzer) (ab 04/26),2026,Super,6.3,61.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350943/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
Fiat,Qubo,K9,Fiat Qubo L Elektro Icon (5-Sitzer) (ab 04/26),2026,Strom,,,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350945/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
Fiat,Qubo,K9,Fiat Qubo L 1.2 Pop (7-Sitzer) (ab 04/26),2026,Super,6.6,61.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350947/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
Fiat,Qubo,K9,Fiat Qubo L 1.2 La Prima (7-Sitzer) (ab 04/26),2026,Super,6.6,61.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/350949/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/fiat/qubo/k9/
